Course	Subject	Room	Teacher	Time	Students
201	POLS3	PK180	115	11	330 649 
202	LATN3	TAYF	81	6	332 401 830 839 924 1452 1456 1601 
203	PHIL3	TAYE	101	9	341 873 1018 
204	MATH2	PK20	125	14	26 52 96 103 112 116 132 151 176 182 189 231 270 272 295 297 413 420 460 532 548 551 568 582 596 662 666 672 680 701 709 744 746 937 947 970 1049 1114 1347 1470 1491 1505 1507 1542 1551 
205	ARTT2	DAL300	116	8	348 366 568 662 684 733 828 926 1139 1152 1189 1334 1360 1393 1499 
206	ARTD3	PK180	130	1	356 412 1500 
207	MATH2	PK349	42	4	359 389 645 665 821 942 1042 1043 
208	CMSC2	TAYF	30	7	318 364 528 580 913 1033 1508 
209	RUSS0	PK243	131	6	359 372 1175 1394 1395 1403 1448 1579 1582 
210	SPAN3	DAL315	74	14	4 388 432 506 515 559 561 636 791 1371 1449 1488 
211	BIOL2	DAL300	132	14	161 276 395 457 698 706 750 787 837 911 957 1344 1469 1545 
212	HART1	DAL300	117	1	119 165 396 453 655 673 752 774 895 1443 1511 1525 1526 1624 
213	BIOL3	PK349	38	5	209 290 350 529 727 1532 1540 
214	SPAN1	DAL300	133	15	88 314 411 819 831 958 969 976 982 1075 1162 1225 1246 
215	ARTD3	PK180	134	12	412 
216	ECON2	DAL300	121	9	151 420 437 442 479 580 595 597 707 960 970 1009 1454 1626 
217	HIST3	TAYE	70	10	249 426 1370 
218	PSYC3	PK179	27	8	31 55 108 357 378 431 438 444 703 831 1369 1440 1459 1473 1536 1558 
219	HIST1	CARP21	24	13	28 434 472 511 653 800 960 1006 1013 1028 1365 
220	SOCL3	DAL300	12	2	72 109 461 477 493 496 693 694 708 835 869 920 953 1465 1490 1605 
221	CNSE0	PK243	135	7	463 771 949 1089 1131 1165 1168 1254 1397 1410 
222	ARTW2	DAL315	136	15	207 388 476 956 999 1095 1150 1359 1360 1416 1546 
223	SPAN3	PK180	133	2	510 756 863 
224	HIST2	PK234	4	13	781 1056 1424 1504 1631 
225	CMSC2	PK349	42	6	284 455 532 672 805 1483 1591 
226	MATH1	PK20	37	16	442 544 549 592 685 928 1071 1073 1077 1080 1081 1085 1086 1088 1089 1094 1096 1102 1121 1127 1128 1133 1138 1209 1210 1215 1218 1235 1247 1256 1257 1261 1265 1283 1293 1303 1304 1316 1321 1381 1471 
227	ENGL2	DAL315	137	16	191 555 557 563 565 573 575 598 602 606 608 
228	HIST3	DAL315	4	5	254 260 338 556 560 567 572 578 591 648 860 1058 
229	CITY2	TAYE	132	11	345 427 559 828 
230	CMSC3	PK349	68	17	296 585 714 720 858 897 923 
231	ARTD1	PK234	138	14	612 779 823 969 1096 1142 
232	GNST1	PK243	139	8	36 579 615 852 948 1007 1404 1421 
233	ARTD2	TAYE	140	12	625 703 1065 1586 
234	PHIL2	PK349	91	7	149 207 414 516 632 1002 1492 1509 
235	ECON2	DAL300	17	16	98 197 219 283 447 477 527 621 671 798 921 936 997 1575 
236	CNSE0	PK179	135	9	155 607 725 757 912 950 967 997 1014 1029 1035 1036 1038 1044 1272 1470 1623 
237	ARTT2	TAYF	141	8	23 436 556 576 729 876 1467 1474 
238	HART3	PK180	117	3	95 744 
239	HART3	PK229	94	2	749 
240	HART3	PK234	69	15	756 886 904 916 1060 1457 
241	GREK0	PK180	142	4	766 872 
242	CITY3	TAYE	94	15	107 712 841 
243	ARTD3	PK229	124	3	859 
244	ITAL3	PK180	50	13	910 
245	ARTD2	TH110	143	16	569 922 1227 1466 
246	FREN0	DAL119	102	4	313 801 944 1107 1123 1135 1147 1169 1174 1189 1213 1221 1232 1252 1280 1293 1301 1441 
247	RUSS2	PK234	88	16	226 260 414 640 1051 1373 
248	HIST3	PK229	80	4	1047 
249	FREN3	PK180	71	14	702 888 
250	HEBR0	PK234	144	17	196 1082 1125 1141 1227 1599 
251	BIOL1	PK180	145	15	1063 1064 
252	EMLY0	PK20	12	1	1065 1066 1067 1068 1069 1070 1071 1072 1073 1074 1075 1076 1077 1078 1079 1080 1081 1082 1083 1084 1085 1086 1087 1088 1089 1090 1091 1092 1093 1094 1095 1096 1097 1098 1099 1100 1101 1102 1103 1104 1105 1106 1107 1108 1109 1110 1111 1112 1113 1114 1115 1116 1117 1118 1119 1120 1121 1122 1123 1124 1125 1126 1127 1128 1129 1130 1131 1132 1133 1134 1135 1136 1137 1138 1139 1140 1141 1142 1143 1144 1145 1146 1147 1148 1149 1150 1151 1152 1153 1154 1155 1156 1157 1158 1159 1160 1161 1162 1163 1164 1165 1166 1167 1168 1169 1170 1171 1172 1173 1174 1175 1176 1177 1178 1179 1180 1181 1182 1183 1184 1185 1186 1187 1188 1189 1190 1191 1192 1193 1194 1195 1196 1197 1198 1199 1200 1201 1202 1203 1204 1205 1206 1207 1208 1209 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 
253	ANTH1	PK234	58	1	1329 1374 1610 
254	SPAN0	DAL300	107	17	635 666 717 1068 1098 1110 1137 1150 1183 1230 1319 1341 1352 1385 
255	SOCL1	PK338	146	2	278 678 724 764 776 862 1017 1074 1077 1093 1115 1118 1130 1135 1139 1156 1174 1177 1259 1304 1331 1362 1384 1565 1587 
256	GNST0	PK179	147	1	1249 1258 1262 1290 1313 
257	ARCH2	PK338	148	12	49 139 161 185 195 303 307 336 474 487 593 652 774 793 880 999 1174 1344 1367 1448 1450 1478 1481 1517 1567 
258	SOCL2	PK179	146	3	49 94 427 469 529 715 798 933 1067 1169 1187 1302 1369 1376 1466 1493 1498 1601 
259	ENGL2	PK25	149	7	86 143 355 529 639 760 775 886 936 956 999 1152 1360 1377 1483 1497 1499 1514 1516 
