Course	Room	Teacher	Time	Students
164	PK338	115	3	179 324 327 336 497 593 623 626 661 792 1158 1161 1186 1255 1334 1430 1445 1537 
165	TH224	52	1	181 489 676 847 979 1473 
166	PK25	101	5	67 71 84 88 99 171 182 228 235 338 393 484 573 660 747 752 1166 1311 1453 1546 
167	PK243	116	13	175 183 393 438 646 941 1063 1453 1503 
168	PK338	95	15	216 217 225 264 323 354 360 397 493 520 641 698 742 950 978 1004 1012 1071 1577 1578 1613 
169	PK25	98	16	83 192 309 317 610 612 646 651 859 879 1063 1088 1428 1454 1460 1553 1582 
170	TAYF	5	8	632 839 1539 
171	PK278	110	4	193 216 239 404 407 437 554 653 791 1196 1220 1222 1232 1235 1278 1304 1342 1346 1358 1372 1399 1415 1513 
172	TH224	117	7	120 370 457 592 628 
173	PK338	102	7	194 236 334 451 489 599 614 638 655 764 1261 1274 1310 1324 1419 
174	PK243	118	12	197 260 370 403 482 628 818 911 919 992 1605 
175	PK243	119	14	204 225 264 503 572 742 1045 1062 1145 1321 1577 
176	PK336	55	1	27 206 404 616 1290 1358 1369 1419 
177	PK229	58	5	208 850 
178	TH224	120	2	209 215 321 435 486 658 720 
179	PK278	121	1	26 211 212 328 621 660 829 906 989 1057 1300 1423 1493 1588 1597 
180	PK278	122	2	169 241 340 401 463 727 786 866 1109 1114 1122 1159 1164 1219 1222 1280 1320 1327 1347 1355 1358 1359 1375 1431 
181	CARP25	123	8	215 401 650 1377 
182	DAL315	108	6	217 571 623 838 890 901 1064 1067 1072 1480 1579 
183	PK179	75	16	66 217 264 425 472 480 507 607 714 739 742 865 938 950 
184	PK338	49	8	209 218 249 392 439 464 526 572 596 1017 1121 1386 1460 1499 1617 
185	CARP21	124	5	220 562 609 768 1077 1115 1160 1249 1257 1294 1423 1517 1609 
186	CARP21	125	16	153 220 394 396 470 600 634 640 756 869 896 993 1037 
187	DAL300	126	5	224 926 1068 1510 
188	DAL300	127	6	113 227 461 493 1554 
189	PK20	77	8	96 211 219 231 263 272 325 332 336 342 363 398 421 461 485 491 584 588 622 634 637 639 661 690 706 758 765 781 785 1091 1124 1133 1143 1149 1154 1159 1172 1173 1206 1213 1214 1224 1229 1231 1270 1273 1282 1308 1312 1325 1336 1345 1346 1361 1368 1385 1387 1424 1442 1453 1478 1493 1522 1575 
190	CARP21	85	6	237 248 259 265 279 284 370 457 628 696 751 788 816 818 1466 
191	PK20	108	5	155 202 237 250 322 329 389 453 465 487 494 663 685 750 751 760 772 780 1020 1110 1112 1118 1126 1132 1133 1135 1138 1141 1180 1188 1189 1194 1199 1200 1210 1223 1226 1230 1248 1251 1260 1263 1265 1266 1271 1280 1295 1296 1307 1309 1315 1316 1320 1328 1333 1335 1338 1354 1355 1363 1365 1372 1376 1383 1391 1392 1398 1401 1405 1406 1408 1428 1474 1505 1543 1554 1626 
192	PK349	40	15	238 521 784 880 1028 1032 1112 1156 1177 1188 1190 1196 1200 1205 1221 1250 1262 1263 1272 1281 1284 1306 1314 1316 1335 1350 1353 1354 1355 1360 1383 1398 1414 1544 
193	PK25	128	9	217 359 434 525 613 623 653 753 769 774 794 1124 1169 1206 1218 1269 1273 
194	EHLEC	129	4	242 789 
195	DAL315	10	15	243 253 522 589 751 878 982 1073 1432 1455 1514 
196	CARP21	130	7	27 80 102 249 404 562 572 583 686 1226 1353 1376 1507 1523 1567 
197	EHLEC	104	3	250 279 804 
198	DAL315	60	11	266 325 609 625 768 840 846 1011 1404 1415 1444 1596 
199	PK179	44	14	42 56 98 210 267 270 390 404 439 557 615 716 720 797 1130 1472 
200	PK349	131	3	207 270 271 285 326 331 337 412 447 496 514 547 571 620 624 649 657 1082 1093 1094 1188 1246 1260 1289 1309 1318 1323 1336 1353 1356 1367 1371 1382 1556 
201	PK278	53	15	132 201 273 374 414 568 754 884 1125 1152 1158 1160 1167 1191 1207 1223 1230 1239 1266 1276 1369 1372 
202	EHLEC	132	10	275 882 909 
203	PK20	133	17	12 255 262 267 304 324 366 419 502 541 652 722 727 800 1136 1145 1171 1180 1200 1211 1216 1221 1233 1259 1297 1306 1308 1313 1326 1331 1343 1360 1361 1374 1389 1395 1414 1427 1558 
204	TH224	129	12	289 837 867 913 1021 
205	DAL300	32	17	292 314 441 544 548 
206	PK336	20	2	303 318 362 515 600 754 792 1197 
207	PK234	134	9	304 321 348 447 648 925 1048 1081 
208	PK234	98	12	308 790 810 827 962 1443 1526 1527 
209	DAL315	128	3	2 154 168 200 214 312 316 522 777 986 1347 1417 1449 
210	PK179	126	9	224 317 401 488 536 565 621 659 739 743 789 855 1068 1117 1256 1411 1573 
211	PK336	135	3	459 796 1025 1080 1171 1174 1633 
212	CARP25	136	12	331 389 425 460 
213	PK338	137	13	230 341 515 731 735 783 950 1157 1187 1218 1221 1269 1293 1303 1374 1387 1423 
214	PK229	130	3	343 604 
215	PK179	138	10	69 109 293 302 345 514 533 551 553 576 587 861 983 1442 1470 1534 1541 
216	TAYF	88	2	350 400 451 498 1559 
217	TH224	41	3	77 131 301 503 1452 1456 1532 
218	PK336	84	10	277 316 353 360 883 1407 1458 1590 
219	DAL315	132	17	354 466 480 507 714 739 948 950 1450 1578 1601 1613 
220	TH224	139	9	355 418 426 608 698 1455 
221	DAL119	140	3	84 359 366 712 1277 1413 1441 
222	EHLEC	141	14	364 724 
223	TAYF	52	7	364 786 947 
224	PK278	142	6	366 554 1112 1143 1156 1182 1217 1256 1258 1267 1304 1306 1340 1344 1346 1360 1361 1373 1385 1388 1392 1409 1509 1632 
225	PK336	36	12	369 639 770 1146 1282 1351 1484 
226	PK278	82	7	346 369 789 1124 1146 1162 1181 1185 1194 1195 1213 1227 1234 1249 1251 1328 1338 1349 1390 1397 1398 1400 1403 1460 
227	TH224	79	17	8 253 379 737 773 930 1340 
228	PK243	143	15	382 402 863 1137 1217 1278 1307 1472 1490 1506 1586 
229	PK336	78	4	111 191 257 382 434 684 913 1069 1448 
230	EHLEC	17	2	388 440 834 
231	TAYF	123	3	397 418 426 608 670 854 
232	CARP25	94	3	61 414 779 1019 1480 
233	PK336	102	14	417 456 705 773 851 1464 1468 1572 
234	CARP25	144	13	420 1451 1531 1568 
235	CARP25	145	4	422 530 799 814 841 
236	DAL300	20	9	232 325 439 598 932 1299 
237	TAYF	42	10	437 556 937 1006 
238	PK229	146	1	162 443 733 
239	CARP25	141	15	34 993 1428 1471 
240	DAL300	147	8	471 1481 
241	PK336	132	13	86 91 507 923 1457 1537 1601 
242	TAYF	145	5	141 261 361 701 1620 
243	PK243	66	16	289 311 319 360 497 565 722 837 867 913 
244	EHLEC	145	9	496 
245	TH224	79	14	145 498 937 1310 
246	CARP25	79	5	485 498 558 725 744 1623 
247	DAL300	145	7	499 1077 1384 1455 
248	DAL119	148	2	383 511 618 787 1128 1147 1396 1412 1571 
249	CARP25	20	11	515 717 1147 1627 
250	TAYF	75	1	517 895 907 1107 1505 
251	TAYF	149	4	141 309 329 461 1520 
252	EHLEC	142	12	518 
253	TAYB	32	2	524 
254	CARP21	150	11	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
255	CARP21	80	12	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
256	CARP21	151	13	43 182 467 492 529 538 544 545 560 561 564 570 578 581 1095 
257	PK234	86	10	33 474 482 546 563 566 567 577 586 767 
258	DAL119	141	10	332 573 715 1043 1095 1390 1439 1542 
259	PK229	36	14	605 
260	TAYB	142	4	612 
261	PK234	152	16	373 615 1027 1036 1052 1054 1277 1302 1324 1341 1570 
262	EHLEC	141	1	115 626 706 
263	DAL315	83	12	163 316 489 656 1063 1125 1170 1176 1190 1404 1578 
264	PK336	153	15	541 630 658 800 812 877 912 1529 
265	DAL300	115	4	248 265 640 868 977 1234 
266	PK338	49	9	80 170 225 238 427 521 574 644 731 1128 1157 1322 1373 1421 1558 
267	PK349	137	16	370 432 758 1060 1110 1170 1184 1202 1204 1215 1231 1240 1248 1250 1257 1265 1294 1307 1350 1378 1396 1399 1413 1422 1425 1488 1541 
268	PK336	59	7	20 55 291 340 441 642 726 1108 1526 
269	TAYB	96	8	673 807 
270	PK229	65	2	101 469 1640 
271	DAL119	92	11	85 221 265 688 748 1029 1034 1563 
272	CARP25	121	6	694 822 904 1153 1175 1197 
273	PK229	154	8	743 
274	TH224	65	5	479 774 824 929 970 1630 
275	EHLEC	19	8	6 524 
276	PK336	155	16	113 306 785 918 1006 1520 1586 
277	TH224	32	6	548 790 1121 1255 1407 1412 1475 
278	PK229	66	17	837 
279	PK229	32	4	844 
280	PK229	130	15	849 
281	PK229	156	6	867 894 
282	TAYB	32	14	897 
283	DAL315	156	14	328 562 821 920 1126 1144 1212 1253 1410 1427 1496 1619 
284	EHLEC	66	5	1043 1439 
285	TAYB	42	3	1083 
286	PK336	103	5	1087 1147 1225 1299 1515 1518 1520 1521 
287	PK20	84	1	794 1091 1092 1093 1094 1109 1110 1111 1112 1113 1114 1115 1116 1117 1118 1119 1120 1121 1122 1123 1124 1125 1126 1127 1128 1129 1130 1131 1132 1133 1134 1135 1136 1137 1138 1139 1140 1141 1142 1143 1144 1145 1146 1147 1148 1149 1150 1151 1152 1153 1154 1155 1156 1157 1158 1159 1160 1161 1162 1163 1164 1165 1166 1167 1168 1169 1170 1171 1172 1173 1174 1175 1176 1177 1178 1179 1180 1181 1182 1183 1184 1185 1186 1187 1188 1189 1190 1191 1192 1193 1194 1195 1196 1197 1198 1199 1200 1201 1202 1203 1204 1205 1206 1207 1208 1209 1210 1211 1212 1213 1214 1215 1216 1217 1218 1219 1220 1221 1222 1223 1224 1225 1226 1227 1228 1229 1230 1231 1232 1233 1234 1235 1236 1237 1238 1239 1240 1241 1242 1243 1244 1245 1246 1247 1248 1249 1250 1251 1252 1253 1254 1255 1256 1257 1258 1259 1260 1261 1262 1263 1264 1265 1266 1267 1268 1269 1270 1271 1272 1273 1274 1275 1276 1277 1278 1279 1280 1281 1282 1283 1284 1285 1286 1287 
288	PK243	157	2	130 213 240 385 925 1113 1116 1163 1302 
289	DAL119	158	4	220 284 495 607 634 1395 1451 1465 1517 
290	CARP25	79	16	39 1254 1436 
291	PK229	63	13	133 285 
292	DAL119	115	13	59 74 314 548 595 614 1563 1587 
293	PK229	157	10	79 82 1581 
294	DAL300	127	10	609 1586 
295	EHLEC	159	16	378 710 1462 
296	TAYF	124	12	493 646 896 1497 
297	CARP25	160	9	24 732 1612 
298	TH224	161	15	485 567 638 768 1540 1550 
299	EHLEC	161	6	663 1472 
300	TAYB	71	7	197 700 1621 
301	TAYB	147	9	361 
302	EHLEC	161	11	639 1490 
303	PK229	117	9	197 1008 
304	EHLEC	108	15	265 
305	TAYF	18	17	61 169 688 1083 
306	PK229	142	7	1531 
307	PK229	69	12	201 481 
308	EHLEC	144	7	309 1549 
309	TAYB	142	1	242 
310	PK349	162	1	266 1295 1315 1316 1317 1320 1321 1322 1323 1325 1329 1330 1333 1334 1349 1354 1355 1356 1363 1365 1367 1371 1372 1376 1381 1382 1383 1384 1385 1386 1387 1389 1395 1405 1477 
311	TAYB	146	17	701 
312	DAL300	100	11	
313	TAYB	68	5	1598 
